c14:2/17=12%;ff52:2/8=25%
d30:10/14=71%;dd33:10/20=50%
d30:10/14=71%;dd34:10/15=67%
d30:6/14=43%;dd35:6/12=50%
d30:2/14=14%;f31:2/9=22%
dd33:9/20=45%;dd34:9/15=60%
dd33:7/20=35%;dd35:7/12=58%
dd34:9/15=60%;dd35:9/12=75%
dd34:4/15=27%;p7:4/13=31%
dd35:4/12=33%;p6:4/12=33%
e39:2/6=33%;ee36:2/4=50%
e39:2/6=33%;ee37:2/3=67%
e39:2/6=33%;ee38:2/4=50%
e39:0/6=0%;m40:0/8=0%
ee36:2/4=50%;ee37:2/3=67%
ee36:2/4=50%;ee38:2/4=50%
ee37:2/3=67%;ee38:2/4=50%
f31:5/9=56%;ff51:5/15=33%
f31:4/9=44%;ff52:4/8=50%
f31:3/9=33%;ff53:3/10=30%
ff51:5/15=33%;ff52:5/8=62%
ff51:7/15=47%;ff53:7/10=70%
ff52:2/8=25%;ff53:2/10=20%
g32:2/6=33%;gg49:2/6=33%
g32:3/6=50%;gg50:3/5=60%
g32:0/6=0%;j44:0/4=0%
gg48:3/5=60%;gg49:3/6=50%
gg48:3/5=60%;gg50:3/5=60%
gg49:2/6=33%;gg50:2/5=40%
j44:2/4=50%;jj41:2/3=67%
j44:2/4=50%;jj42:2/3=67%
j44:2/4=50%;jj43:2/3=67%
jj41:2/3=67%;jj43:2/3=67%
jj42:2/3=67%;jj43:2/3=67%
m40:2/8=25%;mm45:2/10=20%
m40:3/8=38%;mm46:3/6=50%
m40:4/8=50%;mm47:4/8=50%
mm45:4/10=40%;mm46:4/6=67%
mm45:3/10=30%;mm47:3/8=38%
mm46:3/6=50%;mm47:3/8=38%
